city,country,continent,population,year,transport_mode,modal_share_pct,avg_trip_km,daily_trips,emission_factor_co2_kg_per_pkm,emission_factor_nox_kg_per_pkm,emission_factor_pm10_kg_per_pkm,energy_intensity_MJ_per_pkm
Mumbai,India,Asia,20700000,2015,Car,17.684,13.05,4,0.197746,0.00046124,6.55E-05,2.34929
Mumbai,India,Asia,20700000,2015,Motorcycle,12.352,8.14,4,0.115003,0.00072779,9.24E-05,1.56617
Mumbai,India,Asia,20700000,2015,ElectricCar,3.08,13.13,4,0.037323,1.37E-05,3.46E-06,0.38019
Mumbai,India,Asia,20700000,2015,ElectricBike,2.089,7.02,4,0.005766,2.15E-06,6.01E-07,0.05676
Mumbai,India,Asia,20700000,2015,Bus,28.353,10.11,4,0.09053,0.00122249,0.000118794,1.07096
Mumbai,India,Asia,20700000,2015,Rail,27.212,14.42,4,0.028338,1.05E-05,2.31E-06,0.22504
Mumbai,India,Asia,20700000,2015,Bicycle,2.86,5.38,4,0,0,0,0
Mumbai,India,Asia,20700000,2015,Walk,6.37,2.58,4,0,0,0,0
Mumbai,India,Asia,20700000,2016,Car,15.951,12.92,3,0.193399,0.00045821,6.04E-05,2.5635
Mumbai,India,Asia,20700000,2016,Motorcycle,12.382,8.47,3,0.108576,0.00078175,8.86E-05,1.56319
Mumbai,India,Asia,20700000,2016,ElectricCar,3.418,13.56,3,0.037715,1.28E-05,3.63E-06,0.36689
Mumbai,India,Asia,20700000,2016,ElectricBike,2.402,7.83,3,0.005631,2.04E-06,5.78E-07,0.05318
Mumbai,India,Asia,20700000,2016,Bus,28.061,10.45,3,0.083035,0.00115614,0.000119332,1.10569
Mumbai,India,Asia,20700000,2016,Rail,28.359,14.74,3,0.028606,1.06E-05,2.10E-06,0.21819
Mumbai,India,Asia,20700000,2016,Bicycle,3.082,5.51,3,0,0,0,0
Mumbai,India,Asia,20700000,2016,Walk,6.346,2.56,3,0,0,0,0
Mumbai,India,Asia,20700000,2017,Car,17.765,12.14,2,0.191741,0.00044198,5.44E-05,2.4972
Mumbai,India,Asia,20700000,2017,Motorcycle,11.438,8.07,2,0.110572,0.00078089,7.93E-05,1.65659
Mumbai,India,Asia,20700000,2017,ElectricCar,3.671,13.51,2,0.035099,1.38E-05,3.25E-06,0.37596
Mumbai,India,Asia,20700000,2017,ElectricBike,2.457,7.32,2,0.005382,1.94E-06,5.42E-07,0.05143
Mumbai,India,Asia,20700000,2017,Bus,28.256,10.36,2,0.083374,0.00102147,0.000121824,1.11135
Mumbai,India,Asia,20700000,2017,Rail,27.741,14.05,2,0.028309,1.00E-05,1.97E-06,0.21785
Mumbai,India,Asia,20700000,2017,Bicycle,2.88,5.35,2,0,0,0,0
Mumbai,India,Asia,20700000,2017,Walk,5.792,2.87,2,0,0,0,0
Mumbai,India,Asia,20700000,2018,Car,18.155,11.29,4,0.171224,0.00041425,5.32E-05,2.27735
Mumbai,India,Asia,20700000,2018,Motorcycle,12.127,8.94,4,0.104959,0.00080314,8.01E-05,1.40121
Mumbai,India,Asia,20700000,2018,ElectricCar,3.687,13.74,4,0.03763,1.37E-05,3.54E-06,0.35989
Mumbai,India,Asia,20700000,2018,ElectricBike,2.771,7.05,4,0.005486,1.93E-06,5.45E-07,0.05278
Mumbai,India,Asia,20700000,2018,Bus,28.702,10.29,4,0.086512,0.00113237,0.000112732,1.04333
Mumbai,India,Asia,20700000,2018,Rail,25.802,15.26,4,0.02757,9.63E-06,2.00E-06,0.19508
Mumbai,India,Asia,20700000,2018,Bicycle,2.891,5.56,4,0,0,0,0
Mumbai,India,Asia,20700000,2018,Walk,5.865,2.94,4,0,0,0,0
Mumbai,India,Asia,20700000,2019,Car,18.296,13.36,2,0.181978,0.00042233,5.56E-05,2.47566
Mumbai,India,Asia,20700000,2019,Motorcycle,11.559,8.56,2,0.113036,0.0007329,8.12E-05,1.45805
Mumbai,India,Asia,20700000,2019,ElectricCar,4.222,13.55,2,0.035777,1.34E-05,3.07E-06,0.37243
Mumbai,India,Asia,20700000,2019,ElectricBike,3.221,7.23,2,0.005101,2.12E-06,5.66E-07,0.05126
Mumbai,India,Asia,20700000,2019,Bus,26.927,10.32,2,0.081222,0.00103196,0.000106421,1.03765
Mumbai,India,Asia,20700000,2019,Rail,26.782,14.76,2,0.025164,9.96E-06,1.91E-06,0.19672
